Фамилия | Имя | Предмет | Оценка
Иванов | Петя | Физика |
Иванов | Петя | Математика |
Иванов | Петя | Информатика | 1
Иванов | Петя | Английский | 3
Иванов | Петя | Биология | 1
Иванов | Петя | История | 3
Смирнов | Андрей | Физика | 5
Смирнов | Андрей | Математика | 2
Смирнов | Андрей | Информатика | 4
Смирнов | Андрей | Английский | 5
Смирнов | Андрей | Биология | 4
Смирнов | Андрей | История | 3
Сидоров | Петя | Физика | 3
Сидоров | Петя | Математика | 2
Сидоров | Петя | Информатика | 2
Сидоров | Петя | Английский | 3
Сидоров | Петя | Биология | 3
Сидоров | Петя | История | 2
Коротаева | Катя | Физика | 5
Коротаева | Катя | Математика | 4
Коротаева | Катя | Информатика | 1
Коротаева | Катя | Английский | 3
Коротаева | Катя | Биология | 1
Коротаева | Катя | История | 5
Королева | Наташа | Физика | 3
Королева | Наташа | Математика | 2
Королева | Наташа | Информатика | 4
Королева | Наташа | Английский | 3
Королева | Наташа | Биология | 5
Королева | Наташа | История | 4
Киркоров | Филип  | Физика | 1
Киркоров | Филип  | Математика | 2
Киркоров | Филип  | Информатика | 3
Киркоров | Филип  | Английский | 3
Киркоров | Филип  | Биология | 2
Киркоров | Филип  | История | 5
Галиев | Максим | Физика | 3
Галиев | Максим | Математика | 4
Галиев | Максим | Информатика | 2
Галиев | Максим | Английский | 5
Галиев | Максим | Биология | 5
Галиев | Максим | История | 3
Ташина  | Наташа | Физика | 1
Ташина  | Наташа | Математика | 1
Ташина  | Наташа | Информатика | 2
Ташина  | Наташа | Английский | 4
Ташина  | Наташа | Биология | 2
Ташина  | Наташа | История | 3
Изотов | Дмитрий | Физика | 4
Изотов | Дмитрий | Математика | 1
Изотов | Дмитрий | Информатика | 3
Изотов | Дмитрий | Английский | 5
Изотов | Дмитрий | Биология | 4
Изотов | Дмитрий | История | 2
Валетов | Семён | Физика | 2
Валетов | Семён | Математика | 5
Валетов | Семён | Информатика | 5
Валетов | Семён | Английский | 3
Валетов | Семён | Биология | 5
Валетов | Семён | История | 1
Спартанцев | Леонид | Физика | 2
Спартанцев | Леонид | Математика | 5
Спартанцев | Леонид | Информатика | 3
Спартанцев | Леонид | Английский | 5
Спартанцев | Леонид | Биология | 1
Спартанцев | Леонид | История | 5
Румянцев | Владислав | Физика | 1
Румянцев | Владислав | Математика | 3
Румянцев | Владислав | Информатика | 1
Румянцев | Владислав | Английский | 4
Румянцев | Владислав | Биология | 2
Румянцев | Владислав | История | 1
Дакотова | Ирина | Физика | 4
Дакотова | Ирина | Математика | 3
Дакотова | Ирина | Информатика | 1
Дакотова | Ирина | Английский | 5
Дакотова | Ирина | Биология | 1
Дакотова | Ирина | История | 4
